time,1.0,2.0,3.0,5.0,7.0,10.0,20.0,30.0,50.0,70.0,100.0,125.0,150.0,175.0,200.0,225.0,250.0,300.0,350.0,400.0,450.0,500.0,550.0,600.0,650.0,700.0,750.0,775.0,800.0,825.0,850.0,875.0,900.0,925.0,950.0,975.0,1000.0
number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
step,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
valid_time,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00
2004-03-21 00:00:00,1.0717565506297842e-06,1.137274909448892e-06,5.128132569148047e-06,-1.160697239623052e-06,-3.2952453525084874e-07,5.598391011658411e-07,1.2177094428535428e-07,3.3497691240163934e-08,-2.6955483424870562e-08,-1.7973470443919452e-07,-8.833160381030834e-08,-1.100937985990933e-05,-2.2714922460663607e-05,3.1775716142760256e-06,3.057592416890519e-05,4.2798250127797605e-06,-8.8864252114262e-06,-2.1494129733902137e-05,-1.3670414323408054e-05,-9.30879210867325e-06,-4.572640881315198e-06,-5.570851717382345e-06,-9.824783740567165e-06,-6.9659348965602005e-06,-4.979755037686117e-06,-8.210013424324782e-06,-4.928465370624775e-06,-4.800139680970386e-06,-8.149075736920282e-06,-1.2440625992934724e-05,-1.2460770205947005e-05,-1.1697438477957595e-05,-1.054638642996144e-05,-1.0935140725793194e-05,-1.3642289653123985e-05,-1.8521193392106783e-05,-3.775549960036594e-05
number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
step,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
valid_time,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00
2004-03-21 01:00:00,-3.260585933967317e-07,4.7677030095849065e-07,4.225553253615687e-06,1.121878919702883e-06,-1.7088951098003706e-07,2.261955093632882e-07,-1.4676254704268988e-08,-2.4304963304829148e-08,-4.848709096338819e-08,-2.939223658723479e-07,-5.381183531649734e-07,-9.795951293577457e-06,-2.0754035739346227e-05,-4.071265384069089e-07,2.4620466380866606e-05,1.1598501133633004e-05,-5.805087459976776e-06,-2.105707352684123e-05,-1.158352817005858e-05,-5.414219913287361e-06,-5.916158735549587e-06,-1.0965213833399137e-05,-1.1779825669685182e-05,-9.233251167459175e-06,-7.760034919294885e-06,-9.792372365775738e-06,-4.7374516110552645e-06,-4.683996944402455e-06,-8.233090730209326e-06,-1.2501493218687772e-05,-1.3603883296357201e-05,-1.0995930996717636e-05,-1.0828802951674956e-05,-1.2491885395481601e-05,-1.569168652610009e-05,-2.0888137587607696e-05,-4.1558980043951156e-05
number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
step,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
valid_time,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00
2004-03-21 02:00:00,6.950899819397933e-07,2.585078665826436e-07,-2.95494704131632e-07,4.752462108871178e-07,-9.936234692432442e-07,-2.346073938419251e-07,3.6100318939266273e-08,-7.123874751232552e-08,4.025859036554812e-08,-3.2521376831504003e-07,-4.247897542538661e-07,-1.0158633622858507e-05,-1.6383536336920933e-05,-2.9738464077925472e-06,2.427557052870508e-05,1.5675890270999358e-05,-1.508537062920428e-06,-1.3645337381707474e-05,-4.962974562427717e-06,-4.438058640921583e-06,-1.1284007193908716e-05,-1.8232443942887284e-05,-1.629861742680734e-05,-1.1893209450487823e-05,-7.620596036857229e-06,-7.260964491304578e-06,-8.458832641247011e-07,-2.7385074409004096e-06,-8.69991254539956e-06,-1.3497789951049679e-05,-1.4383698857088052e-05,-1.084683502139543e-05,-1.0260696452576725e-05,-1.2124270970816441e-05,-1.5429911790609192e-05,-2.142722348104663e-05,-6.159886154509516e-05
number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
step,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
valid_time,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00
2004-03-21 03:00:00,-6.88500174129043e-07,9.122643896064966e-08,-1.7053062375290704e-06,1.9469675625454505e-07,-1.8204525983394815e-06,2.2940079555308425e-07,6.75626900981748e-08,-4.112750889226919e-08,1.3639351684116488e-07,-6.388967642779316e-07,-2.4028933327014295e-07,-1.1998673500604685e-05,-1.901140310687089e-05,-1.3224601132692609e-05,2.1266694594170852e-05,2.010353814878447e-05,1.76393293978105e-06,-1.0964272011243347e-05,-4.849372988912115e-06,-1.256109426439706e-06,-7.778995006860322e-06,-1.5705229446706033e-05,-1.5873983223756297e-05,-1.1702404505961346e-05,-9.670238695395613e-06,-1.284855984454352e-05,-5.1796672059606235e-06,-5.3731272826557635e-06,-8.50745392033855e-06,-1.1223615267220284e-05,-1.2520124709069e-05,-1.2166613111986555e-05,-1.21708301925496e-05,-1.4221079674273626e-05,-1.7986306736022314e-05,-2.5764693469537612e-05,-6.060851510170268e-05
number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
