time,1.0,2.0,3.0,5.0,7.0,10.0,20.0,30.0,50.0,70.0,100.0,125.0,150.0,175.0,200.0,225.0,250.0,300.0,350.0,400.0,450.0,500.0,550.0,600.0,650.0,700.0,750.0,775.0,800.0,825.0,850.0,875.0,900.0,925.0,950.0,975.0,1000.0
number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
step,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
valid_time,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00
2004-03-21 00:00:00,0.00012131978009300711,7.160751839125335e-05,-3.5167804897254896e-05,5.853751520619583e-05,-3.8108539101645617e-06,-2.191321992114845e-05,-4.8770386801667e-06,-8.488198505224813e-07,1.70686573298631e-05,4.638841367026283e-05,-6.587061036276415e-05,-6.053501520184654e-05,-0.0002749259325077711,-0.0004216741164447229,-3.244508543899982e-06,9.499749226929823e-05,-0.00012914604478865178,-9.262266253163378e-05,7.187834857952541e-05,9.497735212419454e-05,-3.159346558811933e-05,-0.000185671540956218,-0.00036225918173712023,-0.0004974166513600107,-0.000673648823645272,-0.0008020052552096364,-0.0009018000845596748,-0.0009301233816221572,-0.0008428004588287634,-0.000739892513924217,-0.0007027654691492617,-0.0007787621737146879,-0.0009903491981327712,-0.0011251918682389861,-0.001018350175950652,-0.000775737332624456,-0.0005875393389159845
number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
step,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
valid_time,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00
2004-03-21 01:00:00,-2.8596326570642533e-05,0.00012541900264534077,-4.122744551938265e-05,3.2790820202356136e-05,-5.1526816327412064e-06,-2.2574705836002755e-05,-8.449880766147932e-06,1.935346364766752e-06,1.141020108593721e-05,4.797098664826759e-05,-7.303239364792253e-05,-5.085802033283369e-05,-0.00019192098401291354,-0.00019226738796618943,0.00024687503420792227,0.0002885814782985065,-0.00010738512510727376,-0.00020844674477987586,2.753857249090133e-05,6.49312677032258e-05,-5.3052566503546214e-05,-0.00020422675571737063,-0.0003455318121841043,-0.00038802471736301073,-0.0004978422847285262,-0.0006549379673516831,-0.0008285855453365753,-0.0008458534228288337,-0.0007534272266959065,-0.0006444185978493177,-0.000592185021298447,-0.0006625323886710778,-0.0008445282697873222,-0.0009050250865726882,-0.0008100000654559359,-0.0006629742272381026,-0.0005059457357526686
number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
step,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
valid_time,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00
2004-03-21 02:00:00,4.547192174649055e-05,4.0117805265868935e-05,1.4119637377787073e-05,7.239248286720916e-05,-1.064120897715517e-05,-1.430594747109406e-05,2.092313788037928e-06,-2.691364396008249e-06,9.183909229471588e-06,4.480634890509213e-05,-6.913227229529738e-05,-3.328292462733247e-05,-0.0002086623885029838,-0.0002523521686531915,0.00022915079400816815,0.0003567423114617908,-0.00023852200434478342,-0.00028307502720582026,4.998524909613146e-05,2.0009402509947693e-05,-0.00012389111742611592,-0.00028261482876802414,-0.0004568956675559451,-0.00048192964178417103,-0.0005294245499113049,-0.0006894652331524097,-0.0008386716018206248,-0.0008192745204355728,-0.0007042593515281157,-0.000610615425793014,-0.0006053353861704949,-0.0006808469203006321,-0.0008182449126793273,-0.0008355104565560382,-0.0007296497752812234,-0.0005984463798958217,-0.0004685799073199966
number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
step,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
valid_time,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00
2004-03-21 03:00:00,-3.061038645337293e-06,3.1280277163761043e-05,-9.202083242881512e-06,0.00011242730764544407,-1.0799873652337214e-06,-1.0890459765115705e-05,1.1807243781183293e-06,3.5135781516724977e-06,1.2112024362588597e-05,2.330896697575957e-05,-7.254187863834892e-05,-3.903255288274699e-05,-0.0002845715687307058,-0.0004815563429191444,0.0004214337633589458,0.0006888029536746085,-7.861282477058051e-05,-0.0003562663488297969,5.586904585405686e-05,3.539726185166301e-05,-0.00016682957275909117,-0.00034939738821902603,-0.0006043315324857257,-0.0006420965378817914,-0.0006704135903235976,-0.0008420253129030229,-0.0009354164984422884,-0.0008042551443549445,-0.0006070067647309873,-0.0005511584307805368,-0.0006425002138347837,-0.0008227273874407228,-0.000998953120013123,-0.0009605290331287627,-0.0008167328992194463,-0.0006557971235658973,-0.0005155947867701021
number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
step,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
