,windspeed,u10,precip,v10,distance,minimum presure,Az,Ae,Kz,Ke,Ca,Ce,Ck,Ge,mean
kessler_freitas,0.3196367389066957,0.5853449221345048,0.4123014118197204,0.398778956923166,0.1013964190925948,0.0787493706092502,0.2181542729751726,0.1619561145737421,0.7603674254311726,0.0,0.0488845680054535,0.2018186814617214,0.2354248248468162,0.3147575273529926,0.2741122310095002
kessler_ntiedtke,0.0,0.1016912218122888,0.0671541297305259,0.0426699607836437,0.7483195406834888,0.2551993670127316,0.1521908194081033,0.1076343380283967,0.0164785187698853,0.2520405645367659,0.0805093705060576,0.3093967725349544,0.5402356879202803,0.324930471005311,0.21417505448088806
kessler_off,0.2671432891202864,0.5003926804160284,0.508243315518544,0.3048947807813129,0.1802345545770681,0.1199662726480766,0.1718096068086712,0.2279934416131095,0.2452468636235984,0.0100690501571918,0.0728501953196882,0.2432068121957748,0.1100151434691429,0.302234440341356,0.23316431761356066
kessler_tiedtke,0.2359402841202191,0.3527959968117927,0.4397088033712001,0.3284975479186162,0.8693848098069096,0.2073944421799698,0.1521908194081033,0.1076343380283967,0.0164785187698853,0.2520405645367659,0.0805093705060576,0.3093967725349544,0.5402356879202803,0.324930471005311,0.30122417335131874
off_freitas,0.6669254834348124,0.5720814943475765,0.7931926173033418,0.5450507310835649,0.9783714815242058,0.8721949153219684,0.42463360035187,0.8978479094027563,0.7397910447956151,1.0,0.136070260589089,0.7700271247185011,1.0,0.7358380607426509,0.7237160516868537
off_ntiedtke,0.1286593857531891,0.2382961336362559,0.3332683890046251,0.1142336512263044,0.545774450615213,0.4211139616850888,0.2521829282007543,0.3247474129758057,0.9241907397164344,0.8370489939055391,0.0607360895879118,0.3988851178280042,0.8349432443227511,0.3809098146313406,0.4139278795063727
off_off,1.0,0.7715576272768803,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7876998892892412,0.1662823430975457,1.0,0.3406695411230734,1.0,0.8618721000561959
off_tiedtke,0.7844009525665632,1.0,0.8653698564801547,0.8195172539839659,0.8724762500679868,0.7704254281855164,0.8015248107450289,0.6066577969347131,0.6337603489047322,0.5980752600815947,1.0,0.7707012873060413,0.173336315684501,0.8059681536188609,0.7501581224685472
thompson_freitas,0.3341268905814826,0.4875037882212606,0.4293983014629263,0.2582763452208598,0.1416802663563648,0.010174151421424,0.2031692016458472,0.0393245455755381,0.5132953271649875,0.1521085996243986,0.0484860424796116,0.0205620778744368,0.0307574954972028,0.0894489962315524,0.19702228781127804
thompson_fritsch,0.293498535313196,0.2981957920889018,0.2947438812695476,0.1521334314856268,0.3042254120130468,0.0,0.2196796044552343,0.1718366420549491,0.0371000406371532,0.1560693765699633,0.0064747106124086,0.2305905554932415,0.0185327874207946,0.2591748906633469,0.17444683286267218
thompson_ntiedtke,0.0340121732664931,0.0064156779841774,0.0,0.0,0.5561589405087359,0.2358333133526746,0.2469286885252424,0.0887679591723138,0.0193311805212777,0.2028100459547586,0.0051940697097488,0.186940488816552,0.0574257172041685,0.1645943177187495,0.12888661233820659
thompson_off,0.3273849442149971,0.3829014126335271,0.1463034605114542,0.238132079123198,0.1392843180741613,0.1217557404432509,0.036490688207926,0.1007779112220933,0.22833551939885,0.1194901378985849,0.0418181623160273,0.0475491756425197,0.0806195234210129,0.0554122815239146,0.1475896681879655
thompson_tiedtke,0.2338447556291833,0.2224386509131874,0.3132270360366506,0.1883402742151188,0.3047083772908674,0.1912045140304185,0.2469286885252424,0.0887679591723138,0.0193311805212777,0.2028100459547586,0.0051940697097488,0.186940488816552,0.0574257172041685,0.1645943177187495,0.1732682911241598
wsm6_freitas,0.3331438347811699,0.4158299847395036,0.3116155916428418,0.2647875362559124,0.2313464241133115,0.0838652184685224,0.1562249718709551,0.0,0.6547231639445381,0.1884990459048195,0.0493856443546509,0.0360352097478473,0.2093204131165352,0.1113460283926743,0.21758021909523445
wsm6_fritsch,0.2874193724568653,0.2424418933703155,0.2912771890220183,0.1805908511795456,0.4017006393577009,0.0044684745166678,0.3273746340244429,0.0945449736848734,0.0,0.1322321337715656,0.0058428075360808,0.2116948175530471,0.0,0.2412924017393021,0.1729200134437447
wsm6_ntiedtke,0.0309008906130154,0.0,0.0295198353905956,0.0051565545194891,0.5449616058502265,0.1771501186851128,0.1909268886441434,0.093974206031221,0.0100132873373289,0.2312360755811091,0.0,0.1605995235222685,0.1014991918995581,0.1252217800795477,0.12151142558240115
wsm6_off,0.2708346649311683,0.3231988495908902,0.2686550789030532,0.20748136175651,0.1138038649358462,0.1065952158310755,0.0,0.0289129704101329,0.1698917138415589,0.1095398732174135,0.0270278653270496,0.0,0.0625925020050861,0.0,0.12060956862498462
wsm6_tiedtke,0.2492033802420115,0.2273382560316947,0.4047167908712021,0.2117479673550686,0.2811547405886248,0.1537623580374197,0.1909268886441434,0.093974206031221,0.0100132873373289,0.2312360755811091,0.0,0.1605995235222685,0.1014991918995581,0.1252217800795477,0.17438531758722844
