,rmse,ccoef
thompson_freitas_mynn,0.8717480286645802,0.07773585929520635
thompson_freitas_ysu,1.0,0.0
thompson_ntiedtke_mynn,0.047843299292678845,0.9321845399421562
thompson_ntiedtke_ysu,0.09532419001732152,0.8865097578561096
thompson_tiedtke_ysu,0.7226184529285065,0.1850065301384171
wsm6_freitas_mynn,0.8587234217580174,0.14913666072769075
wsm6_freitas_ysu,0.9474621224072582,0.130920150758635
wsm6_ntiedtke_mynn,0.0,1.0
wsm6_ntiedtke_ysu,0.08084145358957226,0.9135186473987749
wsm6_tiedtke_mynn,0.7915657414041803,0.08067447239990388
wsm6_tiedtke_ysu,0.7866490007011923,0.16308101136839454
