time,1.0,2.0,3.0,5.0,7.0,10.0,20.0,30.0,50.0,70.0,100.0,125.0,150.0,175.0,200.0,225.0,250.0,300.0,350.0,400.0,450.0,500.0,550.0,600.0,650.0,700.0,750.0,775.0,800.0,825.0,850.0,875.0,900.0,925.0,950.0,975.0,1000.0
number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
step,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
valid_time,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00,2004-03-21 00:00:00
2004-03-21 00:00:00,-7.063596037852225e-05,-0.00013014853835423387,-7.635576685909491e-05,-5.894691796051556e-05,-1.479369469400582e-05,-2.151997301669527e-05,-1.567006878495332e-05,-1.2905019550525958e-05,-6.914032253672068e-06,-1.1095200799273416e-05,-7.677709608697692e-06,-2.4957559649990052e-05,-2.648596664782958e-05,-6.921655489747276e-05,-6.834608783227354e-05,-3.086460549116438e-05,-1.4451496263817247e-05,7.756649020615531e-05,0.00012654423026052164,0.00017311370531217896,0.00016380756247301012,0.0001374587776043507,9.945528702709682e-05,5.103388988807445e-05,3.1717505058427075e-05,6.0062560281749566e-05,3.740732902859385e-05,2.5354423138305002e-05,2.4596297183467454e-05,8.683457963785217e-06,-8.429913144771903e-06,-1.4836313113287986e-05,-1.3407790304828799e-05,-9.246337711816405e-06,-5.395966702490433e-06,-5.203809114199632e-05,-0.00021427577387514126
number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
step,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
valid_time,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00,2004-03-21 01:00:00
2004-03-21 01:00:00,-7.707907514469032e-06,-1.7013953344058764e-05,-9.336715940118376e-06,-5.542448547010022e-06,-1.924056064784946e-05,-5.675670354548713e-06,1.30466573778297e-06,6.506661161577792e-07,-1.1482258758405784e-06,-2.4272956824399564e-06,-1.5708835388527587e-06,-8.810749321130964e-06,-1.27818626875244e-05,-3.719327131415551e-05,-5.73640549951733e-06,7.824610838171399e-06,1.8181771463036178e-05,0.00010672314507398069,0.00010277480954945447,0.00010614713930993305,8.915766177825774e-05,7.872374739349922e-05,6.139348156222361e-05,3.566712413310491e-05,2.955988420369537e-05,5.218775528325735e-05,3.606699946600808e-05,3.1840468982284045e-05,3.260861443543368e-05,1.9189809067560695e-05,2.322984463877993e-07,-6.1895268469142145e-06,-2.7696352872418456e-06,-2.0063510380335e-06,-2.14255108332406e-06,-2.2920211720025708e-05,-6.138577257709398e-05
number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
step,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
valid_time,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00,2004-03-21 02:00:00
2004-03-21 02:00:00,-1.3337921462569074e-05,1.1447189537645365e-05,-1.4954602177167923e-05,-9.760443001857128e-06,-3.784888053972556e-07,-4.028099247741938e-06,4.425183457103828e-06,1.0613516179322335e-06,-1.9716232939717374e-06,-1.2450132590117516e-06,-5.9637370658733565e-06,-1.3960449735969735e-05,1.1480579825444814e-06,-2.5923423406053916e-05,3.8602500695932147e-07,1.3249887737703706e-05,1.1515528053452671e-05,8.584376664221234e-05,7.22187898536965e-05,6.455170331649222e-05,5.7036396050909835e-05,5.662712363474174e-05,5.81115693506096e-05,3.6117132729194416e-05,3.292315790323444e-05,7.773346221955267e-05,4.617816529669251e-05,3.996390214186707e-05,3.4431094376738984e-05,2.4181398558637527e-05,1.1409784792661821e-05,1.0975227333129938e-06,4.7291323086802976e-07,-4.412620632913831e-07,-3.180218271428502e-06,-2.443592426261475e-05,-0.00010870012463461705
number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
step,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
valid_time,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00,2004-03-21 03:00:00
2004-03-21 03:00:00,3.768793423297147e-06,-2.352300040926137e-05,7.96369805858743e-06,8.82895890746135e-06,1.0905115093164643e-05,4.997254414875477e-06,1.9226599996024214e-06,2.5086116224868246e-07,-2.2456477576910968e-06,1.5833273867957455e-06,2.68232132549825e-07,-2.487656609047579e-06,1.1235321722898907e-05,-8.952085959621982e-06,-2.715456864851578e-06,2.1387876862475744e-05,1.5386123893397675e-05,8.925859812945791e-05,8.737878438962243e-05,7.631028071120831e-05,7.080038998053e-05,9.225598832219161e-05,9.486099632213681e-05,8.137220874550507e-05,5.292704996857997e-05,0.00010245376102543943,5.660707163358312e-05,5.806488526795431e-05,4.84599495171871e-05,3.0887067017479623e-05,1.9505462826268993e-05,1.2464206639747657e-05,7.197888879857563e-06,4.678052718781384e-06,4.6613192178172955e-07,-2.534090339228296e-05,-0.00011891558376395091
number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
step,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
