,bias,mse,rmse,mae,mape,r
Az,-20294.48907566212,1038355694.9282718,32223.52704047575,26035.525692124746,0.22562409681909057,0.6867023583235851
Ae,18970.99265304614,1556284748.4928162,39449.77501194165,35355.28830582578,0.19155792356660442,0.3029896403428718
Kz,6428.174433101086,5898952327.807332,76804.6374108187,64136.85736243593,0.08369562928771984,0.7920172425925754
Ke,121407.46197264643,18231468477.964554,135023.95520041825,121407.46197264646,0.18172010811092934,0.9283871803167051
Cz,0.2811738323350429,0.619141413911042,0.7868553958072868,0.6379806965344054,1.5226393737209356,0.4211957420691831
Ca,-0.34445188302503266,0.15836089263130745,0.397945841329329,0.35153015313073754,0.23145992330052478,0.8768351505258976
Ck,-1.1545584969617064,1.860858975973698,1.3641330492197958,1.158872518414843,0.3782020656115575,0.9773971615101329
Ce,3.925207216117632,20.976132323427397,4.579970777573521,3.9537182853078465,0.6437227473795643,0.5090711150096293
BAz,1.1089215352666058,2.2130961073546573,1.4876478438644871,1.2441764416104555,0.2600000157650096,0.8260202626082089
BAe,-0.17072204915165204,1.8357163067846194,1.3548860862761192,1.1190461206550955,5.475921345211115,0.5213820671846551
BKz,-3.6435536474109074,44.05592008968182,6.637463377652778,4.5329186090109435,1.0708308373312148,0.8639827042380983
BKe,-1.5135115973496072,9.52726951498155,3.0866275309764135,2.2215772600841217,0.22577666966041185,0.9906929318983695
Gz,-0.7016741884772612,8.341763127046283,2.888211059989606,2.346529828223918,1.2905854469289697,-0.2121499923935694
Ge,2.7614488861979622,14.161091587942545,3.763122584761563,3.368388576393922,6.5455910597616755,-0.06173799912982351
∂Az/∂t (finite diff.),-0.08175772379348203,6.557539687874747,2.5607693546812738,2.0070491149675562,2.6459185633106994,0.7652688143789318
∂Ae/∂t (finite diff.),-0.5310229411897397,3.156181144252329,1.776564421644295,1.3209522664088393,1.7379741730937148,0.7778905859430871
∂Kz/∂t (finite diff.),-0.10365775499026016,58.47423935357161,7.646845058818154,6.03328098374985,0.8004994605713248,0.7652995719013973
∂Ke/∂t (finite diff.),-0.24555933074501493,20.45477533817883,4.52269558318696,3.633748963920201,1.1200749896251359,0.831479169586866
RGz,-1.2539573097500767,8.666439392386103,2.9438816879056304,2.275832379360761,1.1320234892227876,0.7966886476041465
RGe,3.9093582071045763,22.086079366006377,4.699582892768929,4.2593778019272355,0.534130930021889,0.6471584880753944
RKz,-4.41328055704731,110.68896681474587,10.52088241616386,8.569176267356,4.030041544391749,0.7829233990387512
RKe,3.8118134464747446,43.27132767221886,6.578094532022085,5.322502598112364,0.931969734744513,0.7442351125902139
