,bias,mse,rmse,mae,mape,r
Az,1409.7356813944389,363300403.93574566,19060.440811684963,14146.316560627236,0.11660759697073499,0.8681209978889594
Ae,19057.854555531452,570261991.7818465,23880.15895637729,20769.498650266814,0.1057038523335078,0.9407676548881757
Kz,-49373.4774633195,5247952986.627405,72442.75661946752,58257.71794486072,0.0854626890971872,0.9161358499548686
Ke,-3560.0701951882547,7142562997.2466,84513.68526603606,69513.36101192467,0.1175038087283549,0.899394431380697
Cz,0.02977100692085546,0.8696990152434405,0.9325765465866277,0.7492467764917125,3.0733531003258494,0.5082857285756109
Ca,-0.017665139301688393,0.11658746260173097,0.3414490629680084,0.3017321818177175,0.20319267275578154,0.6943494660360996
Ck,0.9272724689027748,1.393612357460997,1.1805135990156983,0.949844852263014,0.18177186136687537,0.9908312839155295
Ce,0.8125292261005295,4.821479204587394,2.195786693781387,1.9263456386373237,0.41300259071682516,0.7529382879475899
BAz,0.3494760178675436,0.8493829705863497,0.9216197537956474,0.7158586498098652,0.1789233986265709,0.9010337203862103
BAe,-0.16315483313984994,0.16985670570693703,0.4121367560736812,0.33642955563704025,1.269304199440089,0.9765867351860826
BKz,0.9509865714034099,15.045481963046674,3.8788505981858434,3.106286533831868,2.1997186807490325,0.9192357367752592
BKe,-0.6626802480581014,9.806714379782049,3.1315673998466087,2.436268135621474,0.2369593832980478,0.9695325565765813
Gz,-0.08678654412164712,6.07800412593653,2.4653608510594407,1.7864360524617668,1.2524842786970725,0.431027783076941
Ge,0.7469849921246626,5.338240726269109,2.3104633142010953,1.9732891769985113,5.782030200082879,0.6141511078805237
∂Az/∂t (finite diff.),-0.22799602859991697,3.382915492508767,1.839270369605504,1.4062808742763868,0.8274449051031901,0.8915703228241995
∂Ae/∂t (finite diff.),-0.20296756690853093,1.7725320694446982,1.331364739447721,1.124125769727786,4.453802956704976,0.87392045480509
∂Kz/∂t (finite diff.),-0.1903311369673679,43.90437446615528,6.62603761430278,5.337837757929084,0.7565249325503833,0.8330818559924281
∂Ke/∂t (finite diff.),-0.9858989801237099,17.58073363609639,4.19293854427851,3.1995100113128223,1.0760420708842944,0.8653696048683067
RGz,-0.5653661788482934,4.717891340074622,2.1720707493253117,1.7154032338257537,1.3743127841788445,0.8796641003290293
RGe,0.7903816316335365,8.017442306738936,2.83150883924789,2.3060586189030583,0.33300885688939197,0.7122568328705754
RKz,2.098361184194409,70.97399161771183,8.424606318262702,7.125970246897315,4.5743347511484265,0.8451899320117264
RKe,0.20847548926336304,30.735332595202994,5.543945580108358,4.656008212538845,1.0332422543094506,0.7302419666070692
