,bias,mse,rmse,mae,mape,r
Az,12805.060244577844,347642164.09074515,18645.16463029343,13134.054036274625,0.09553301758760459,0.931072859308987
Ae,17210.13119646091,420794040.0444363,20513.264977678133,17409.272250112826,0.08680215504579165,0.9635717712435087
Kz,-51907.07519713391,5303644757.837103,72826.12689026585,61323.25895931519,0.08889953649703776,0.9255255769727332
Ke,8508.270051317351,7777344026.826747,88189.2511977891,75371.39060245834,0.1264929000716052,0.8752284754585652
Cz,-0.2289825886875819,0.7018455523700675,0.837762229018513,0.7089683979832669,2.622390366622942,0.6095526566575699
Ca,-0.05062345501667462,0.13948996540133798,0.3734835543920749,0.3277944786895049,0.21622706029314817,0.7162458573094809
Ck,0.18057819950373308,0.512375946350376,0.7158044050928829,0.5712913120544169,0.13564179596865403,0.987925195429907
Ce,0.8129908416903954,3.6812599328322206,1.9186609739170233,1.6558405275623833,0.3190901368478952,0.7775968281800537
BAz,0.3732290582673401,0.7301043012274736,0.8544614100282549,0.6506661897403972,0.1769408036814268,0.9261233561017724
BAe,-0.202805122387376,0.15468040319793916,0.393294295913301,0.2924439331750084,1.2233356765301155,0.9809167205615242
BKz,2.1089654048842372,20.907850410823624,4.572510296415266,3.768310458012001,3.440048196288423,0.9124963787033598
BKe,-0.9883070312792542,14.125758397546647,3.7584249889477173,2.882174401756901,0.26991445497842226,0.9564727024145958
Gz,-0.15570744322938565,6.451797358434064,2.540038849788338,1.8187137786045076,1.21156715119902,0.3725778052156538
Ge,0.7043327000999048,3.6219374581197585,1.9031388436264336,1.6537721255646736,4.317214519699756,0.6893990459947188
∂Az/∂t (finite diff.),0.09331098472946164,4.311242755839892,2.0763532348422538,1.5466681625637264,1.2393897085847556,0.8912480852798293
∂Ae/∂t (finite diff.),-0.11139902857714522,1.4228584426264526,1.1928363016887324,0.9841519487560525,3.341729321371169,0.9010830189078726
∂Kz/∂t (finite diff.),-0.12437604777044271,43.82787414488606,6.6202623924498685,5.2675602653563365,0.749574565837107,0.8334349839748005
∂Ke/∂t (finite diff.),-1.0208865795129325,17.747979197119914,4.212835054582593,3.29567915855335,1.0127221072377655,0.8639983063710742
RGz,-0.5595241172421347,7.478321895053864,2.7346520610589318,2.2313727664547023,2.0378519690784875,0.7950753453222847
RGe,0.9550203905173006,7.081965604687305,2.6611962732364,2.1372722905628123,0.31293258489607906,0.7360722937760082
RKz,2.1849370634708305,69.79403680426968,8.354282542760311,7.022503876372085,4.403379330905458,0.8501628310766007
RKe,0.6649921904203396,30.60068963036782,5.531789008120955,4.6658409469946145,1.0406506714982255,0.7281291482858634
