,bias,mse,rmse,mae,mape,r
off-off,5.547328759251539,38.66256918618674,6.217923221316482,5.651505177986066,0.6383489991068313,0.5741130870117361
off-tiedtke,3.9093582071045763,22.086079366006377,4.699582892768929,4.2593778019272355,0.534130930021889,0.6471584880753944
thompson-tiedtke,-0.13582148393386842,6.656066231903078,2.5799353154494162,2.0718269409812478,0.3409989800071354,0.7510425194317216
off-ntiedtke,0.9773397796994118,13.110179548034203,3.620798192116512,3.1614953980637197,0.6000336895734549,0.3587608682211486
thompson-off,0.006884009591346811,3.9582389245061855,1.9895323381403445,1.6359454381575134,0.33730512983617866,0.8189310607086271
wsm6-kain_fritsch,0.2232558880132598,8.33831940192066,2.8876148292181663,2.322074233130918,0.36955677875882503,0.6840515910870743
ERA5-ERA5,0.0,0.0,0.0,0.0,0.0,1.0
wsm6-grell_freitas,-0.305122909226381,3.867162053495609,1.9665101203644004,1.6082612158961407,0.30493997362230413,0.8233272066577491
thompson-grell_freitas,-0.17277448003624832,3.572877733142832,1.8902057383107354,1.483775116777496,0.30028688855811614,0.8364571849250004
kessler-tiedtke,-0.8168423488341235,13.016902414041327,3.6078944571649165,2.7734827450646584,0.5036296420910341,0.5937675585289982
wsm6-tiedtke,-0.26829210453086816,6.6857542262621195,2.5856825455307,2.144801024195334,0.3391660196219199,0.758822506265087
wsm6-off,-0.09154585045426682,3.3091529197289944,1.8191077262572974,1.5298965037863888,0.2838787103541059,0.8499274678846895
thompson-ntiedtke,0.9550203905173006,7.081965604687305,2.6611962732364,2.1372722905628123,0.31293258489607906,0.7360722937760082
kessler-off,-0.8096334150101318,9.314106948619107,3.051902185296755,2.3520456024490985,0.4617162668024812,0.6541465290380141
thompson-kain_fritsch,0.7903816316335365,8.017442306738936,2.83150883924789,2.3060586189030583,0.33300885688939197,0.7122568328705754
kessler-grell_freitas,-0.5430347470500717,7.5880644221754,2.7546441552722194,2.0519011620441443,0.43307640828688204,0.6794057603384303
wsm6-ntiedtke,0.966184475472993,6.779757568628292,2.6037967602384584,2.1083297038094795,0.2995791536898602,0.7562769998233401
kessler-ntiedtke,-0.11507416512089526,12.156054999082995,3.4865534556468507,2.8183147721999546,0.47394976078356493,0.5529446341892388
off-grell_freitas,4.505669502590851,27.618857299777442,5.255364621011319,4.701989104400702,0.5474423875266043,0.6168702639163212
