,bias,mse,rmse,mae,mape,r
off-off,-0.3429677086216681,3.8508109916561093,1.9623483359628355,1.58067146507633,3.0308099479388986,0.7017622516556541
off-tiedtke,-0.5310229411897397,3.156181144252329,1.776564421644295,1.3209522664088393,1.7379741730937148,0.7778905859430871
thompson-tiedtke,-0.24566530837488107,1.8026863692122734,1.3426415639374023,1.0823165117468652,3.843542134275136,0.8729213977186905
off-ntiedtke,-0.48407526525495,2.7950000058999955,1.6718253514945858,1.2831491761644431,2.5198743183316945,0.8068735633554067
thompson-off,-0.2787772767437367,1.647162851069629,1.2834184240027213,0.997394608637275,2.7629713022756506,0.8919251802540665
wsm6-kain_fritsch,-0.2524047300500143,1.4100776570370848,1.187466907765048,0.9535509878756496,3.3042372815130086,0.9053568418570933
ERA5-ERA5,0.0,0.0,0.0,0.0,0.0,1.0
wsm6-grell_freitas,-0.23900046313438214,1.4518963835166645,1.2049466309827437,0.9822762454867222,3.353779011397485,0.900586565045265
thompson-grell_freitas,-0.28528709586834305,1.577550217617531,1.2560056598668379,0.9592022074791139,2.6643124982015025,0.8953987810193402
kessler-tiedtke,-0.32586558757473577,2.3799591148304144,1.5427116110376606,1.309006730851682,3.5434985024038,0.8295271419963103
wsm6-tiedtke,-0.2114941005299921,1.7392642702704844,1.3188116887071044,1.0697646225022945,4.137625082624907,0.8767537612618079
wsm6-off,-0.22564973729149176,1.3264916063330348,1.1517341734675735,0.8842892531395732,2.642217175666239,0.9105566794584914
thompson-ntiedtke,-0.11139902857714522,1.4228584426264526,1.1928363016887324,0.9841519487560525,3.341729321371169,0.9010830189078726
kessler-off,-0.2991189157291749,2.1985906185358384,1.482764518909135,1.2062533949051795,3.091552100390136,0.8429667132266879
thompson-kain_fritsch,-0.20296756690853093,1.7725320694446982,1.331364739447721,1.124125769727786,4.453802956704976,0.87392045480509
kessler-grell_freitas,-0.2802490604180328,2.427336483355622,1.5579911692161872,1.2728983226548258,2.7855085098646115,0.8231975482503425
wsm6-ntiedtke,-0.07589666941517637,1.5185304299315598,1.2322866671077635,1.0005528099875984,4.231012002357754,0.8926658971557845
kessler-ntiedtke,-0.2810557494134069,2.2821442758418313,1.5106767608730305,1.222254221823704,5.062322062893859,0.8384051386290975
off-grell_freitas,-0.2777937153345698,3.083040206612504,1.7558588230870111,1.3834993038847652,2.326585603172606,0.7682672436145538
